COSTOS BARATERO ,,,,
CONS.,C.B.A,DESCRIPCIÓN,UNIDAD DE MEDIDA, PRECIO UNITARIO 
LÁCTEOS ,480 202 0100 00,"Queso fresco paquete envasado en empaque impermeable (Pieza 500 g, Paquete 1000 g)",EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0209 01,Queso manchego bajo en grasa (Rebanada 30 g Paquete 1000 g),PAQUETE DE 1000 g C/REBANADAS DE 30 g,
LÁCTEOS ,480 202 0209 02,"Queso manchego bajo en grasa (Rebanada 100 g, Paquete 1000 g)",PAQUETE DE 1000 g C/REBANADAS DE 100 g,
LÁCTEOS ,480 202 0102 01 ,"Queso oaxaca (1000 g), envasado en empaque impermeable",EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0102 00,"Queso oaxaca envasado en empaque impermeable (Pieza 500 g, Paquete 1000 g)",EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0101 02,"Queso panela paquete (1000 g), envasado en empaque impermeable",EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0101 01,"Queso panela, envasado en empaque impermeable (Pieza 500 g, Paquete 1000 g)",EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0103 01 ,"Requesón sin sal (1000 g), envasado en empaque impermeable",EMPAQUE DE 1000 g,
LÁCTEOS ,480 202 0103 00,"Requesón sin sal (500 g), envasado en empaque impermeable",EMPAQUE DE 500 g,
LÁCTEOS ,480 202 0301 01,Yogur natural de leche descremada (1000 ml),ENVASE DE 1000 ml,
LÁCTEOS ,480 202 0301 02,Yogurt natural de leche descremada (150 ml),ENVASE DE 150 ml,
EMBUTIDOS ,480 103 0302 02,"Jamón de Pechuga de Pavo (Rebanada 30 g, Paquete 1000 g)",PAQUETE DE 1000 g C/REBANADAS DE 30 g,
EMBUTIDOS ,480 103 0302 01,"Jamón de Pechuga de Pavo (Rebanada 30 g, Paquete 500 g)",PAQUETE DE 500 g C/REBANADAS DE 30 g,
EMBUTIDOS ,480 103 0700 01,"Salchicha de Pavo Viena (Pieza 40 g, Paquete 1000 g)",PAQUETE DE 1000 g,
EMBUTIDOS ,480 103 0700 00,"Salchicha de Pavo Viena (Pieza 40 g, Paquete 500 g)",PAQUETE DE 500 g,
FRUTAS Y VERDURAS ,480 301 0100 00,Caña ,KILO,
FRUTAS Y VERDURAS ,480 301 0200 00,Chabacano,KILO,
FRUTAS Y VERDURAS ,480 301 0501 00,Ciruela amarilla,KILO,
FRUTAS Y VERDURAS ,480 301 0503 00,Ciruela procesada deshidratada (ciruela pasa),KILO,
FRUTAS Y VERDURAS ,480 301 0502 00,Ciruela roja,KILO,
FRUTAS Y VERDURAS ,480 301 0600 00,Durazno (melocotón),KILO,
FRUTAS Y VERDURAS ,480 301 0800 00,Granada roja,KILO,
FRUTAS Y VERDURAS ,480 301 0900 00,Guanábana,KILO,
FRUTAS Y VERDURAS ,480 301 1000 00,Guayaba,KILO,
FRUTAS Y VERDURAS ,480 301 1100 00,Jícama,KILO,
FRUTAS Y VERDURAS ,480 301 1202 00,Lima dulce,KILO,
FRUTAS Y VERDURAS ,480 301 1301 00,Limón con semilla del no. 5,KILO,
FRUTAS Y VERDURAS ,480 301 1500 00,Mamey,KILO,
FRUTAS Y VERDURAS ,480 301 1603 00,Mandarina,KILO,
FRUTAS Y VERDURAS ,480 301 1701 00,Mango atufo,KILO,
FRUTAS Y VERDURAS ,480 301 1702 00,Mango manila,KILO,
FRUTAS Y VERDURAS ,480 301 1803 00,Manzana ,KILO,
FRUTAS Y VERDURAS ,480 301 1901 00,Melón chino ,KILO,
FRUTAS Y VERDURAS ,480 301 1902 00,Melón valenciano,KILO,
FRUTAS Y VERDURAS ,480 301 2001 00,Naranja ,KILO,
FRUTAS Y VERDURAS ,480 301 2102 00,Papaya roja,KILO,
FRUTAS Y VERDURAS ,480 301 2202 00,Pera mantequilla ,KILO,
FRUTAS Y VERDURAS ,480 301 2300 00,Perón golden ,KILO,
FRUTAS Y VERDURAS ,480 301 2400 00,Piña miel,KILO,
FRUTAS Y VERDURAS ,480 301 2501 00,Plátano dominico,KILO,
FRUTAS Y VERDURAS ,480 301 2502 00,Plátano macho,KILO,
FRUTAS Y VERDURAS ,480 301 2505 00,Plátano tabasco pza. 200 gr. Aprox. Punta verde,KILO,
FRUTAS Y VERDURAS ,480 301 2600 00,Sandia,KILO,
FRUTAS Y VERDURAS ,480 806 0300 00,Tamarindo (1000 g),KILO,
FRUTAS Y VERDURAS ,480 301 2700 00,Tejocote,KILO,
FRUTAS Y VERDURAS ,480 301 2801 00,Toronja roja,KILO,
FRUTAS Y VERDURAS ,480 301 2900 00,Tuna,KILO,
FRUTAS Y VERDURAS ,480 301 3004 00,Uva procesada deshidratada (1000 g),KILO,
FRUTAS Y VERDURAS ,480 301 3003 00,Uva sin semilla,KILO,
FRUTAS Y VERDURAS ,480 302 0100 00,Acelga,KILO,
FRUTAS Y VERDURAS ,480 302 0202 00,Aguacate hass,KILO,
FRUTAS Y VERDURAS ,480 302 0300 00,Apio,KILO,
FRUTAS Y VERDURAS ,480 302 0400 00,Betabel,KILO,
FRUTAS Y VERDURAS ,480 302 0500 00,Brócoli,KILO,
FRUTAS Y VERDURAS ,480 302 0602 00,Calabacita italiana ,KILO,
FRUTAS Y VERDURAS ,480 302 0700 00,Calabaza de castilla,KILO,
FRUTAS Y VERDURAS ,480 302 0801 00,Camote amarillo ,KILO,
FRUTAS Y VERDURAS ,480 302 0901 00,Cebolla blanca grande,KILO,
FRUTAS Y VERDURAS ,480 302 0902 00,Cebolla cambray,KILO,
FRUTAS Y VERDURAS ,480 302 0903 00,Cebolla morada,KILO,
FRUTAS Y VERDURAS ,480 302 1000 00,Champiñón fresco,KILO,
FRUTAS Y VERDURAS ,480 302 1102 00,Chayote sin espinas ,KILO,
FRUTAS Y VERDURAS ,480 302 1201 00,Chícharo limpio,KILO,
FRUTAS Y VERDURAS ,480 302 1300 00,Chilacayote,KILO,
FRUTAS Y VERDURAS ,480 302 1404 00,Chile chilaca,KILO,
FRUTAS Y VERDURAS ,480 302 1402 00,Chile de árbol,KILO,
FRUTAS Y VERDURAS ,480 302 1406 00,Chile habanero,KILO,
FRUTAS Y VERDURAS ,480 302 1407 00,Chile jalapeño,KILO,
FRUTAS Y VERDURAS ,480 302 1408 00,Chile largo o güero,KILO,
FRUTAS Y VERDURAS ,480 302 1409 00,Chile poblano,KILO,
FRUTAS Y VERDURAS ,480 302 1501 00,Chile seco ancho,KILO,
FRUTAS Y VERDURAS ,480 302 1410 00,Chile serrano,KILO,
FRUTAS Y VERDURAS ,480 805 0100 00,Cilantro ,KILO,
FRUTAS Y VERDURAS ,480 302 1701 00,Col blanca,KILO,
FRUTAS Y VERDURAS ,480 302 1702 00,Col morada,KILO,
FRUTAS Y VERDURAS ,480 302 1801 00,Coliflor fresca,KILO,
FRUTAS Y VERDURAS ,480 302 1900 00,Ejote,KILO,
FRUTAS Y VERDURAS ,480 302 2001 00,Elote fresco entero,KILO,
FRUTAS Y VERDURAS ,480 302 2002 00,Elote procesado congelado desgranado ,KILO,
FRUTAS Y VERDURAS ,480 302 2101 00,Espinaca fresca,KILO,
