CLAVE,CLAVE ALTERNA,DESCRIPCION,SERVICIO (S/N),INV_MIN,INV_MAX,PRECIO COMPRA,PRECIO 1,PRECIO 2,MAYOREO 2,PRECIO 3,MAYOREO 3,PRECIO 4,MAYOREO 4,EXIST.,PESO,CARACTERISTICAS,DEPARTAMENTO,CATEGORIA,RECETA (S/N),GRANEL (S/N),IMPUESTO (S/N),IMP IEPS 8(S/N),IMP IEPS 30(S/N),IMP ISR 1.25(S/N),IMP IEPS 28.52(S/N),IMP IVA(S/N),IMP Imp.Loc.Tra.IE 4.5(S/N),IMP IEPS 26.55(S/N),IMP IEPS 6(S/N),IMP ISR 1.25(S/N),IMP IVA(S/N)
7501200483103,1123,HARINA PARA HOT CAKES PRONTO 500 GR,false,0,0,22.023,24.224750,25.325875,0.000,0.000000,0.000,0.000000,0.000,311.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7503015338012,1127,CAFE GOURMET COATEPEC CIELO ABIERTO DE 1KG,false,0,0,255.004,280.504290,293.254490,0.000,0.000000,0.000,0.000000,0.000,-125.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
1132,,FREIGHT COORDINATION ( COORDINACIONDE FLETE),false,0,0,1146.750,1261.425000,1318.762500,0.000,0.000000,0.000,0.000000,0.000,1.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7501048351060,1151,GEL ANTIBACTERIAL PROTEC DE 500ML,false,0,0,31.353,34.488000,36.056000,0.000,33.861000,0.000,0.000000,0.000,35.0000,0.0000,,RACK 1,DESINFECTANTE,N,N,S,N,N,N,N,N,N,N,N,N,N
681131755498,1161,ATUN EN HOJUELA EN AGUA DE 1.88 GR MEMBER MARK,false,0,0,240.410,264.451000,276.471500,0.000,0.000000,0.000,0.000000,0.000,17.0000,0.0000,,RACK 2,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501119500571,1162,BACTERICIDA MICRODYN 17 ML,false,0,0,28.428,33.187000,34.695500,0.000,0.000000,0.000,0.000000,0.000,-14.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
7501033952913,1164,GLUCERNA SABOR VAINILLA DE 400GR,false,0,0,339.500,373.450000,390.425000,0.000,0.000000,0.000,0.000000,0.000,-9.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
681131778138,1165,BACTERICIDA FRUTAS MEMBER MARK DE 1 LT,false,0,0,69.798,76.778130,80.268050,0.000,0.000000,0.000,0.000000,0.000,53.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
1167,,BOLSA  90X120  TRANSPARENTE,false,0,0,41.835,46.464000,48.576000,0.000,0.000000,0.000,0.000000,0.000,-33.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,S,N,N,N,N,N,N,N,N,N,N
1176,,AGUA PURIFICADA MEMBER'S MARK 237ML,false,0,0,80.986,2.222550,2.323580,0.000,0.000000,0.000,0.000000,0.000,2164.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501379120052,1177,ARROZ BUENO EMPACADO DE 900 GRS PZA,false,0,0,30.000,33.000000,34.500000,0.000,0.000000,0.000,0.000000,0.000,2632.0000,0.0000,,RACK 1,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501379119551,1178,FRIJOL NEGRO BUENO EMPACADO DE 900 GRS PZA,false,0,0,30.817,34.260600,35.817900,0.000,0.000000,0.000,0.000000,0.000,389.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501379119704,1179,AVENA DE HOJUELA BUENO EMP DE 400 GRS,false,0,0,12.900,14.190000,14.835000,0.000,0.000000,0.000,0.000000,0.000,1811.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
7501379124395,1180,LENTEJA BUENO EMPACADO DE 500 GRS PZA,false,0,0,19.201,21.582000,22.563000,0.000,0.000000,0.000,0.000000,0.000,662.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7501379201522,1181,GARBANZO BUENO EMPACADO DE 500 GRS PZA,false,0,0,27.934,30.727510,32.124220,0.000,0.000000,0.000,0.000000,0.000,3073.0000,0.0000,,RACK 3,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
1182,,CC CHARGE ( CARGO AL COBRO EN DESTINO),false,0,0,4.278,4.741000,4.956500,0.000,0.000000,0.000,0.000000,0.000,-8.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
1183,,CHILE ANCHO,false,0,0,311.110,342.221000,357.776500,0.000,0.000000,0.000,0.000000,0.000,-46.7000,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1188,,CHILE MULATO KG,false,0,0,322.220,354.442000,370.553000,0.000,0.000000,0.000,0.000000,0.000,1.6000,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1189,,CHILE PASILLA KG,false,0,0,311.110,342.221000,357.776500,0.000,0.000000,0.000,0.000000,0.000,8.4000,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1190,,CHILE GUAJILLO KG,false,0,0,244.440,268.884000,281.106000,0.000,0.000000,0.000,0.000000,0.000,-1.4500,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1192,,CHILE DE ARBOL,false,0,0,308.000,338.800000,354.200000,0.000,0.000000,0.000,0.000000,0.000,-198.8500,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1193,,CHILE MORITA KG,false,0,0,374.000,457.111110,477.888890,0.000,0.000000,0.000,0.000000,0.000,0.7000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,S,N,N,N,N,N,N,N,N,N,N,S
1194,,COMINO ENTERO,false,0,0,280.000,308.000000,322.000000,0.000,0.000000,0.000,0.000000,0.000,45.8100,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1195,,HOJA DE LAUREL SECO ENTERO,false,0,0,484.000,332.750000,347.875000,0.000,0.000000,0.000,0.000000,0.000,-2.9000,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
1196,,OREGANO NEGRO KG,false,0,0,326.700,359.370000,375.705000,0.000,0.000000,0.000,0.000000,0.000,-174.9800,0.0000,,SIN DEFINIR,SIN DEFINIR,N,S,N,N,N,N,N,N,N,N,N,N,S
1198,,PIMIENTA GORDA KG,false,0,0,533.500,586.850000,613.525000,0.000,0.000000,0.000,0.000000,0.000,-13.1000,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
7501818200055,1202,AVENA CON CACAO DE 400 GR EL MADRUGADOR,false,0,0,31.480,34.628000,36.202000,0.000,0.000000,0.000,0.000000,0.000,75.0000,0.0000,,RACK 1,ABARROTE,N,N,N,S,N,N,N,N,N,N,N,N,N
7501818200062,1203,AVENA CON CANELA DE 400 GR EL MADRUGADOR,false,0,0,15.688,20.020000,20.930000,0.000,0.000000,0.000,0.000000,0.000,346.0000,0.0000,,RACK 1,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
1205,,PIMIENTA CHICA ENTERA KG,false,0,0,412.500,453.750000,474.375000,0.000,0.000000,0.000,0.000000,0.000,10.8100,0.0000,,SEMILLAS,ESPECIES,N,S,N,N,N,N,N,N,N,N,N,N,S
7501060500019,1206,ACEITE PATRONA 1LT,false,0,0,33.000,36.300000,37.950000,0.000,0.000000,0.000,0.000000,0.000,27509.0000,0.0000,,RACK 1,ABARROTE,N,N,N,N,N,N,N,N,N,N,N,N,N
7500810022061,1209,PAN BIMBO INTEGRAL 620GR,false,0,0,43.160,47.476000,49.634000,0.000,0.000000,0.000,0.000000,0.000,1100.0000,0.0000,,SIN DEFINIR,SIN DEFINIR,N,N,N,N,N,N,N,N,N,N,N,N,N
